



Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Bibliotecas Especializadas. Préstamos activos;cultura-ocio;bibliotecas, lectura, préstamos, libros, música, revistas, prensa, periódicos, partituras, manuscritos;11/02/2021;03/06/2024;01/01/2021;02/05/2024;mensual;Dirección General de Bibliotecas, Archivos y Museos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;6427;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d316363b8cd57710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Bibliotecas Especializadas. Histórico de préstamos;cultura-ocio;bibliotecas, lectura, préstamos, libros, música, revistas, prensa, periódicos, partituras, manuscritos;11/02/2021;03/06/2024;01/01/2021;02/06/2024;mensual;Dirección General de Bibliotecas, Archivos y Museos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;18027;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d665363b8cd57710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planeamiento Urbanístico. Modificaciones y desarrollos del PGOUM de 1997;urbanismo-infraestructuras;edificabilidad, urbanismo, ordenación, planeamiento, geoportal;08/02/2021;03/06/2024;;;sindefinir;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,shp,;762;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=cf529e8a54f37710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planeamiento Urbanístico. Línea Límite de la Edificación;urbanismo-infraestructuras;edificabilidad, urbanismo, ordenación, planeamiento, geoportal;08/02/2021;03/06/2024;;;sindefinir;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,shp,;611;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9c919e8a54f37710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planeamiento Urbanístico. Información pública;urbanismo-infraestructuras;edificabilidad, urbanismo, ordenación, planeamiento, geoportal;08/02/2021;03/06/2024;;;sindefinir;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,shp,;626;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=220ea69214f37710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planeamiento Urbanístico. Catálogo de Elementos Singulares;urbanismo-infraestructuras;edificabilidad, urbanismo, ordenación, planeamiento, geoportal;08/02/2021;03/06/2024;;;sindefinir;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,shp,;876;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0baca69214f37710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de análisis georreferenciado predictivo y elaboración de cuadros de mando ante el impacto socioeconómico del COVID-19 sobre la población vulnerable y demanda asistencial de la ciudad de Madrid;sociedad-bienestar;pandemia virus;22/01/2021;21/01/2021;;31/12/2020;informacionhistorica;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;4584;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=be67a7b0fde17710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Cartografía municipal por distritos a escala 1:5000 2016;urbanismo-infraestructuras;cartografia 1:5000 SHP ETRS 2016, geoportal;18/06/2021;21/01/2021;;;anual;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;shp,;9400;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=bb79396c40586710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Cartografía municipal por distritos a escala 1:20000 2016;urbanismo-infraestructuras;cartografia 1:20000 SHP ETRS 2016, geoportal;18/06/2021;21/01/2021;;;anual;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;shp,;9713;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=3169396c40586710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Servicio de Estacionamiento Regulado (SER). Tiques de aparcamiento;transporte;zona azul, zona verde, SER aparcamiento parquímetro;15/12/2020;11/04/2024;01/07/2020;31/03/2024;trimestral;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,zip,;4999;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=67663c0a55e16710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tarjeta Azul de transportes para autobús (EMT) y metro;transporte;tarjeta,azul;25/02/2021;03/06/2024;01/01/2020;31/05/2024;mensual;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3386;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=90dbbec2d07d5710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inventario de instalaciones fotovoltaicas;energia;energía, edificios municipales, placas solares;18/11/2020;06/06/2024;;31/05/2024;mensual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,geo,;6251;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9dee450abcbb5710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Operación Asfalto. Madrid 2020;urbanismo-infraestructuras;DSgeoportal, geoportal, calzada, pavimento, mejora, asfalto;05/11/2020;06/06/2024;;;mensual;Dirección General de Conservación de Vías Públicas;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,shp,;636;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e743636098895710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudios de Percepción Ciudadana;sociedad-bienestar;Percepción, estudios, encuestas, satisfacción ciudadana, opinión ciudadana;29/06/2021;06/06/2024;;;mensual;Dirección General de Transparencia y Calidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;416;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a71ce1c8a4d84710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Informes de Evaluación Ambiental de Actividades;medio-ambiente;medio ambiente ;02/09/2020;15/04/2024;01/01/2019;31/03/2024;trimestral;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1403;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=dcf84ac6f7333710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Inscripciones online de demanda de servicios de la Agencia para el Empleo;empleo;oficinas de la agencia de empleo, empleo trabajo oficinas;07/07/2020;11/11/2021;26/03/2020;31/10/2021;informacionhistorica;Agencia para el Empleo;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;2276;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7b3b691ac70e2710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Actividades de distribución de alimentos y material del Cuerpo de Bomberos (HISTÓRICO);seguridad;Bomberos, emergencias, estadísticas, actuaciones,  comida, ayuda;27/05/2020;08/06/2020;16/03/2020;31/05/2020;informacionhistorica;Dirección General de Bomberos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;1289;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=19d0b03bf6132710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio sobre el impacto de la situación de confinamiento en la población de la ciudad de Madrid tras la declaración del estado de alarma por la pandemia COVID-19;sociedad-bienestar;servicios públicos, sondeos encuestas;20/05/2020;19/05/2020;13/04/2020;23/04/2020;informacionhistorica;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3126;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=79c6ec6846c22710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Intervenciones del Cuerpo de Bomberos;seguridad;Bomberos, emergencias, estadísticas, intervenciones, tipo de siniestro, siniestros;27/05/2020;13/10/2022;08/03/2020;30/09/2022;informacionhistorica;Dirección General de Bomberos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;2742;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ab25ec6846c22710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Servicio de Estacionamiento Regulado (SER). Recaudación de parquímetros;transporte;Recaudación,parquímetros;01/06/2020;15/01/2024;02/03/2021;31/12/2023;anual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;19848;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=691f5be190212710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Contaminación acústica (datos diarios y semanales);medio-ambiente;contaminación acústica, ruido;04/05/2020;30/06/2020;01/03/2020;27/06/2020;informacionhistorica;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;3889;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0ea1417c43dd1710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Calidad del aire (datos diarios);medio-ambiente;calidad del aire, contaminación, dióxido de nitrógeno, ozono;04/05/2020;30/06/2020;01/03/2020;28/06/2020;informacionhistorica;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;8431;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=90ee417c43dd1710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Hogares por Tamaño, Composición del hogar, Nacionalidad y Sección Censal según Distrito (Explotación estadística);demografia;Demografía, mayores;29/04/2020;14/05/2020;01/01/2009;01/01/2020;anual;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;9624;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=88ef31e2af4c1710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Histórico de datos del tráfico (datos semanales);transporte;movilidad transporte circulación , TranspaTrafico , TranspaMovilidad;23/04/2020;10/08/2020;30/03/2020;09/08/2020;informacionhistorica;Dirección General de Gestión y Vigilancia de la Circulación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,zip,;10965;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e51f1016356a1710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
COVID-19. Mercamadrid: volumen y precio de productos comercializados;comercio;Comercio Mayorista, Mercamadrid, Mercados Centrales;21/04/2020;31/08/2020;13/04/2020;08/08/2020;informacionhistorica;Mercamadrid S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,txt,;18561;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d4029b855e891710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2020;sector-publico;rpt, puestos empleados trabajadores, puestos de trabajo;17/04/2020;25/01/2021;01/01/2020;31/12/2020;informacionhistorica;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;4692;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=cdfad2d4c2881710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Personas que viven solas por Edad según Distrito y Barrio, y por Sexo (Explotación estadística);demografia;Demografía, mayores;05/04/2020;25/01/2021;;;anual;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1977;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ac2fce1b0ef31710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Consumo de energía en edificios municipales. Datos mensuales;energia;energía, edificios municipales, consumo, kWh, gas, electricidad, m3/h, kVAr;16/04/2020;06/06/2024;01/03/2020;31/05/2024;mensual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;4130;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d6fe4f894ef31710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos de recarga de vehículos eléctricos instalados en edificios municipales (para flota municipal);transporte;Puntos recarga, enchufes, coches eléctricos, energía;18/03/2020;06/06/2024;;;mensual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;702;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=715953387ffa0710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Generación de energía solar fotovoltaica en edificios y centros municipales;energia;Paneles, Fotovoltaica, Energía;18/03/2020;06/06/2024;;;mensual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1281;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e2eece114eaa0710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de opinión de las personas usuarias de los Centros de Servicios Sociales de Atención Social Primaria;sociedad-bienestar;servicios sociales, encuesta, opinión;28/02/2020;26/04/2024;;;anual;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;947;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ee34bd03e1b90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de usuarios del Servicio de Lavandería Domiciliaria;sociedad-bienestar;ervicios públicos, sondeos encuestas;28/02/2020;04/12/2023;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;602;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ea33bd03e1b90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de usuarios/as del servicio Respiro Familiar;sociedad-bienestar;servicios públicos,  sondeos encuestas;28/02/2020;25/01/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;714;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=569dbd03e1b90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción del servicio de productos de apoyo;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;02/03/2020;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;602;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b0e724b51ca90710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción con el Programa de Ejercicio al Aire Libre;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;29/04/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;696;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4be26f6ad2c70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción del Servicio de Fisioterapia Preventiva;sociedad-bienestar;servicios públicos, sondeos encuestas;28/03/2020;08/03/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;882;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d05e6f6ad2c70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de personas usuarias del Servicio de Ayuda a Domicilio;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;14/03/2024;;;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2638;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=300a6f6ad2c70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias con el Servicio de Teleasistencia Domiciliaria;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;14/03/2024;;;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2436;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=be76f6071bb70710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de participantes en el programa Cuidar a Quienes Cuidan;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;25/02/2020;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1154;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d6cec5a8ddb70710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción con el servicio de los Centros Municipales para Mayores;sociedad-bienestar;servicios públicos, sondeos encuestas;25/02/2020;08/03/2024;;;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1751;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=45f2a25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta de satisfacción de participantes en el programa Ciclismo por Madrid;deporte;servicios públicos, sondeos encuestas;10/03/2019;05/10/2023;;;anual;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;965;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d5c2a25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias del servicio de Comidas a Domicilio;sociedad-bienestar;servicios públicos,sondeos encuestas;28/02/2020;19/01/2022;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1628;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c351a25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de los Centros de Día;sociedad-bienestar;servicios públicos, sondeos encuestas;28/02/2020;31/01/2024;;31/12/2023;anual;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;1787;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=49bfa25f26770710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encargos a medios propios personificados;economia;Encargos,medios,propios,personificados;04/02/2020;16/06/2023;01/01/2019;12/03/2024;trimestral;Oficina de la Secretaría de la Junta de Gobierno;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;2366;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c5df99d768f00710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Empresas adheridas a los Códigos de Buenas Prácticas;comercio;empresas, arbitraje, consumo, arbitral, OMIC;29/01/2020;16/06/2023;;;anual;Dirección General de Comercio, Hostelería y Consumo;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;934;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0f52a10004cef610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Calidad del aire. Episodios de alta contaminación atmosférica por dióxido de nitrógeno;medio-ambiente;Contaminación, aire, protocolo, episodio, nitrógeno, salud, restricciones, calidad, no2, dioxido;22/11/2019;16/06/2023;;;tiemporeal;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;3699;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=1ae9d1caa41be610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
